Genes	KEGG_ID	Metabolism	Pathways	Genes_name	Isoforms
RDH13	hsa00830	Metabolism of cofactors and vitamins	Retinol metabolism - Homo sapiens (human)	retinol	retinol dehydrogenase 13
RDH16	hsa00830	Metabolism of cofactors and vitamins	Retinol metabolism - Homo sapiens (human)	retinol	retinol dehydrogenase 16
RDH5	hsa00830	Metabolism of cofactors and vitamins	Retinol metabolism - Homo sapiens (human)	retinol	retinol dehydrogenase 5
RDH8	hsa00830	Metabolism of cofactors and vitamins	Retinol metabolism - Homo sapiens (human)	retinol	retinol dehydrogenase 8
RENBP	hsa00520	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)	renin	renin binding protein
RETSAT	hsa00830	Metabolism of cofactors and vitamins	Retinol metabolism - Homo sapiens (human)	retinol	retinol saturase
RFK	hsa00740	Metabolism of cofactors and vitamins	Riboflavin metabolism - Homo sapiens (human)	riboflavin	riboflavin kinase
RGN	hsa00030 / hsa00053	Carbohydrate metabolism	Pentose phosphate pathway - Homo sapiens (human) / Ascorbate and aldarate metabolism - Homo sapiens (human)	regucalcin	regucalcin
RIMKLA	hsa00250	Amino acid metabolism	Alanine, aspartate and glutamate metabolism - Homo sapiens (human)	ribosomal	ribosomal modification protein rimK like family member A
RIMKLB	hsa00250	Amino acid metabolism	Alanine, aspartate and glutamate metabolism - Homo sapiens (human)	ribosomal	ribosomal modification protein rimK like family member B
RIPPLY2-CYB5R4	hsa00520	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)	RIPPLY2-CYB5R4	RIPPLY2-CYB5R4 readthrough
RPE	hsa00030 / hsa00040	Carbohydrate metabolism	Pentose phosphate pathway - Homo sapiens (human) / Pentose and glucuronate interconversions - Homo sapiens (human)	ribulose-5-phosphate-3-epimerase	ribulose-5-phosphate-3-epimerase
RPE65	hsa00830	Metabolism of cofactors and vitamins	Retinol metabolism - Homo sapiens (human)	retinoid	retinoid isomerohydrolase RPE65
RPEL1	hsa00030 / hsa00040	Carbohydrate metabolism	Pentose phosphate pathway - Homo sapiens (human) / Pentose and glucuronate interconversions - Homo sapiens (human)	ribulose-5-phosphate-3-epimerase	ribulose-5-phosphate-3-epimerase like 1
RPIA	hsa00030	Carbohydrate metabolism	Pentose phosphate pathway - Homo sapiens (human)	ribose	ribose 5-phosphate isomerase A
RRM1	hsa00230 / hsa00240 / hsa00480	Nucleotide metabolism / Metabolism of other amino acids	Purine metabolism - Homo sapiens (human) / Pyrimidine metabolism - Homo sapiens (human) / Glutathione metabolism - Homo sapiens (human)	ribonucleotide	ribonucleotide reductase catalytic subunit M1
RRM2	hsa00230 / hsa00240 / hsa00480	Nucleotide metabolism / Metabolism of other amino acids	Purine metabolism - Homo sapiens (human) / Pyrimidine metabolism - Homo sapiens (human) / Glutathione metabolism - Homo sapiens (human)	ribonucleotide	ribonucleotide reductase regulatory subunit M2
RRM2B	hsa00230 / hsa00240 / hsa00480	Nucleotide metabolism / Metabolism of other amino acids	Purine metabolism - Homo sapiens (human) / Pyrimidine metabolism - Homo sapiens (human) / Glutathione metabolism - Homo sapiens (human)	ribonucleotide	ribonucleotide reductase regulatory TP53 inducible subunit M2B
SACM1L	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	SAC1	SAC1 like phosphatidylinositide phosphatase
SAMD8	hsa00564	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human)	sterile	sterile alpha motif domain containing 8
SARDH	hsa00260 / hsa00670	Amino acid metabolism / Metabolism of cofactors and vitamins	Glycine, serine and threonine metabolism - Homo sapiens (human) / One carbon pool by folate - Homo sapiens (human)	sarcosine	sarcosine dehydrogenase
SARM1	hsa00760	Metabolism of cofactors and vitamins	Nicotinate and nicotinamide metabolism - Homo sapiens (human)	sterile	sterile alpha and TIR motif containing 1
SAT1	hsa00330	Amino acid metabolism	Arginine and proline metabolism - Homo sapiens (human)	spermidine/spermine	spermidine/spermine N1-acetyltransferase 1
SAT2	hsa00330	Amino acid metabolism	Arginine and proline metabolism - Homo sapiens (human)	spermidine/spermine	spermidine/spermine N1-acetyltransferase family member 2
SC5D	hsa00100	Lipid metabolism	Steroid biosynthesis - Homo sapiens (human)	sterol-C5-desaturase	sterol-C5-desaturase
SCD	hsa01040	Lipid metabolism	Biosynthesis of unsaturated fatty acids - Homo sapiens (human)	stearoyl-CoA	stearoyl-CoA desaturase
SCD5	hsa01040	Lipid metabolism	Biosynthesis of unsaturated fatty acids - Homo sapiens (human)	stearoyl-CoA	stearoyl-CoA desaturase 5
SCLY	hsa00450	Metabolism of other amino acids	Selenocompound metabolism - Homo sapiens (human)	selenocysteine	selenocysteine lyase
SCP2	hsa00120 / hsa01040	Lipid metabolism	Primary bile acid biosynthesis - Homo sapiens (human) / Biosynthesis of unsaturated fatty acids - Homo sapiens (human)	sterol	sterol carrier protein 2
SDHA	hsa00020 / hsa00190	Carbohydrate metabolism / Energy metabolism	Citrate cycle (TCA cycle) - Homo sapiens (human) / Oxidative phosphorylation - Homo sapiens (human)	succinate	succinate dehydrogenase complex flavoprotein subunit A
SDHB	hsa00020 / hsa00190	Carbohydrate metabolism / Energy metabolism	Citrate cycle (TCA cycle) - Homo sapiens (human) / Oxidative phosphorylation - Homo sapiens (human)	succinate	succinate dehydrogenase complex iron sulfur subunit B
SDHC	hsa00020 / hsa00190	Carbohydrate metabolism / Energy metabolism	Citrate cycle (TCA cycle) - Homo sapiens (human) / Oxidative phosphorylation - Homo sapiens (human)	succinate	succinate dehydrogenase complex subunit C
SDHD	hsa00020 / hsa00190	Carbohydrate metabolism / Energy metabolism	Citrate cycle (TCA cycle) - Homo sapiens (human) / Oxidative phosphorylation - Homo sapiens (human)	succinate	succinate dehydrogenase complex subunit D
SDR16C5	hsa00830	Metabolism of cofactors and vitamins	Retinol metabolism - Homo sapiens (human)	short	short chain dehydrogenase/reductase family 16C member 5
SDS	hsa00260 / hsa00270 / hsa00290	Amino acid metabolism	Glycine, serine and threonine metabolism - Homo sapiens (human) / Cysteine and methionine metabolism - Homo sapiens (human) / Valine, leucine and isoleucine biosynthesis - Homo sapiens (human)	serine	serine dehydratase
SDSL	hsa00260 / hsa00270 / hsa00290	Amino acid metabolism	Glycine, serine and threonine metabolism - Homo sapiens (human) / Cysteine and methionine metabolism - Homo sapiens (human) / Valine, leucine and isoleucine biosynthesis - Homo sapiens (human)	serine	serine dehydratase like
SELENBP1	hsa00920	Energy metabolism	Sulfur metabolism - Homo sapiens (human)	selenium	selenium binding protein 1
EPT1	hsa00564 / hsa00565 / hsa00440	Lipid metabolism / Metabolism of other amino acids	Glycerophospholipid metabolism - Homo sapiens (human) / Ether lipid metabolism - Homo sapiens (human) / Phosphonate and phosphinate metabolism - Homo sapiens (human)	selenoprotein	selenoprotein I
SEPHS1	hsa00450	Metabolism of other amino acids	Selenocompound metabolism - Homo sapiens (human)	selenophosphate	selenophosphate synthetase 1
SEPHS2	hsa00450	Metabolism of other amino acids	Selenocompound metabolism - Homo sapiens (human)	selenophosphate	selenophosphate synthetase 2
SEPSECS	hsa00450	Metabolism of other amino acids	Selenocompound metabolism - Homo sapiens (human)	Sep	Sep (O-phosphoserine) tRNA:Sec (selenocysteine) tRNA synthase
SETD1A	hsa00310	Amino acid metabolism	Lysine degradation - Homo sapiens (human)	SET	SET domain containing 1A, histone lysine methyltransferase
SETD1B	hsa00310	Amino acid metabolism	Lysine degradation - Homo sapiens (human)	SET	SET domain containing 1B, histone lysine methyltransferase
SETD2	hsa00310	Amino acid metabolism	Lysine degradation - Homo sapiens (human)	SET	SET domain containing 2, histone lysine methyltransferase
SETD7	hsa00310	Amino acid metabolism	Lysine degradation - Homo sapiens (human)	SET	SET domain containing 7, histone lysine methyltransferase
SETDB1	hsa00310	Amino acid metabolism	Lysine degradation - Homo sapiens (human)	SET	SET domain bifurcated histone lysine methyltransferase 1
SETDB2	hsa00310	Amino acid metabolism	Lysine degradation - Homo sapiens (human)	SET	SET domain bifurcated histone lysine methyltransferase 2
SETMAR	hsa00310	Amino acid metabolism	Lysine degradation - Homo sapiens (human)	SET	SET domain and mariner transposase fusion gene
SGMS1	hsa00564 / hsa00600	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human) / Sphingolipid metabolism - Homo sapiens (human)	sphingomyelin	sphingomyelin synthase 1
SGMS2	hsa00564 / hsa00600	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human) / Sphingolipid metabolism - Homo sapiens (human)	sphingomyelin	sphingomyelin synthase 2
SGPL1	hsa00600	Lipid metabolism	Sphingolipid metabolism - Homo sapiens (human)	sphingosine-1-phosphate	sphingosine-1-phosphate lyase 1
SGPP1	hsa00600	Lipid metabolism	Sphingolipid metabolism - Homo sapiens (human)	sphingosine-1-phosphate	sphingosine-1-phosphate phosphatase 1
SGPP2	hsa00600	Lipid metabolism	Sphingolipid metabolism - Homo sapiens (human)	sphingosine-1-phosphate	sphingosine-1-phosphate phosphatase 2
SHMT1	hsa00630 / hsa00260 / hsa00670	Carbohydrate metabolism / Amino acid metabolism / Metabolism of cofactors and vitamins	Glyoxylate and dicarboxylate metabolism - Homo sapiens (human) / Glycine, serine and threonine metabolism - Homo sapiens (human) / One carbon pool by folate - Homo sapiens (human)	serine	serine hydroxymethyltransferase 1
SHMT2	hsa00630 / hsa00260 / hsa00670	Carbohydrate metabolism / Amino acid metabolism / Metabolism of cofactors and vitamins	Glyoxylate and dicarboxylate metabolism - Homo sapiens (human) / Glycine, serine and threonine metabolism - Homo sapiens (human) / One carbon pool by folate - Homo sapiens (human)	serine	serine hydroxymethyltransferase 2
SHPK	hsa00030	Carbohydrate metabolism	Pentose phosphate pathway - Homo sapiens (human)	sedoheptulokinase	sedoheptulokinase
SI	hsa00052 / hsa00500	Carbohydrate metabolism	Galactose metabolism - Homo sapiens (human) / Starch and sucrose metabolism - Homo sapiens (human)	sucrase-isomaltase	sucrase-isomaltase
SIRT1	hsa00760	Metabolism of cofactors and vitamins	Nicotinate and nicotinamide metabolism - Homo sapiens (human)	sirtuin	sirtuin 1
SIRT2	hsa00760	Metabolism of cofactors and vitamins	Nicotinate and nicotinamide metabolism - Homo sapiens (human)	sirtuin	sirtuin 2
SIRT3	hsa00760	Metabolism of cofactors and vitamins	Nicotinate and nicotinamide metabolism - Homo sapiens (human)	sirtuin	sirtuin 3
SIRT4	hsa00760	Metabolism of cofactors and vitamins	Nicotinate and nicotinamide metabolism - Homo sapiens (human)	sirtuin	sirtuin 4
SIRT5	hsa00760	Metabolism of cofactors and vitamins	Nicotinate and nicotinamide metabolism - Homo sapiens (human)	sirtuin	sirtuin 5
SIRT6	hsa00760	Metabolism of cofactors and vitamins	Nicotinate and nicotinamide metabolism - Homo sapiens (human)	sirtuin	sirtuin 6
SIRT7	hsa00760	Metabolism of cofactors and vitamins	Nicotinate and nicotinamide metabolism - Homo sapiens (human)	sirtuin	sirtuin 7
SLC27A5	hsa00120	Lipid metabolism	Primary bile acid biosynthesis - Homo sapiens (human)	solute	solute carrier family 27 member 5
SMOX	hsa00330 / hsa00410	Amino acid metabolism / Metabolism of other amino acids	Arginine and proline metabolism - Homo sapiens (human) / beta-Alanine metabolism - Homo sapiens (human)	spermine	spermine oxidase
SMPD1	hsa00600	Lipid metabolism	Sphingolipid metabolism - Homo sapiens (human)	sphingomyelin	sphingomyelin phosphodiesterase 1
SMPD2	hsa00600	Lipid metabolism	Sphingolipid metabolism - Homo sapiens (human)	sphingomyelin	sphingomyelin phosphodiesterase 2
SMPD3	hsa00600	Lipid metabolism	Sphingolipid metabolism - Homo sapiens (human)	sphingomyelin	sphingomyelin phosphodiesterase 3
SMPD4	hsa00600	Lipid metabolism	Sphingolipid metabolism - Homo sapiens (human)	sphingomyelin	sphingomyelin phosphodiesterase 4
SMS	hsa00270 / hsa00330 / hsa00480	Amino acid metabolism / Metabolism of other amino acids	Cysteine and methionine metabolism - Homo sapiens (human) / Arginine and proline metabolism - Homo sapiens (human) / Glutathione metabolism - Homo sapiens (human)	spermine	spermine synthase
SMYD1	hsa00310	Amino acid metabolism	Lysine degradation - Homo sapiens (human)	SET	SET and MYND domain containing 1
SMYD2	hsa00310	Amino acid metabolism	Lysine degradation - Homo sapiens (human)	SET	SET and MYND domain containing 2
SMYD3	hsa00310	Amino acid metabolism	Lysine degradation - Homo sapiens (human)	SET	SET and MYND domain containing 3
SOAT1	hsa00100	Lipid metabolism	Steroid biosynthesis - Homo sapiens (human)	sterol	sterol O-acyltransferase 1
SOAT2	hsa00100	Lipid metabolism	Steroid biosynthesis - Homo sapiens (human)	sterol	sterol O-acyltransferase 2
SORD	hsa00040 / hsa00051	Carbohydrate metabolism	Pentose and glucuronate interconversions - Homo sapiens (human) / Fructose and mannose metabolism - Homo sapiens (human)	sorbitol	sorbitol dehydrogenase
SPHK1	hsa00600	Lipid metabolism	Sphingolipid metabolism - Homo sapiens (human)	sphingosine	sphingosine kinase 1
SPHK2	hsa00600	Lipid metabolism	Sphingolipid metabolism - Homo sapiens (human)	sphingosine	sphingosine kinase 2
SPR	hsa00790	Metabolism of cofactors and vitamins	Folate biosynthesis - Homo sapiens (human)	sepiapterin	sepiapterin reductase
SPTLC1	hsa00600	Lipid metabolism	Sphingolipid metabolism - Homo sapiens (human)	serine	serine palmitoyltransferase long chain base subunit 1
SPTLC2	hsa00600	Lipid metabolism	Sphingolipid metabolism - Homo sapiens (human)	serine	serine palmitoyltransferase long chain base subunit 2
SPTLC3	hsa00600	Lipid metabolism	Sphingolipid metabolism - Homo sapiens (human)	serine	serine palmitoyltransferase long chain base subunit 3
SQLE	hsa00100	Lipid metabolism	Steroid biosynthesis - Homo sapiens (human)	squalene	squalene epoxidase
SQRDL	hsa00920	Energy metabolism	Sulfur metabolism - Homo sapiens (human)	sulfide	sulfide quinone oxidoreductase
SRD5A1	hsa00140	Lipid metabolism	Steroid hormone biosynthesis - Homo sapiens (human)	steroid	steroid 5 alpha-reductase 1
SRD5A2	hsa00140	Lipid metabolism	Steroid hormone biosynthesis - Homo sapiens (human)	steroid	steroid 5 alpha-reductase 2
SRD5A3	hsa00140	Lipid metabolism	Steroid hormone biosynthesis - Homo sapiens (human)	steroid	steroid 5 alpha-reductase 3
SRM	hsa00270 / hsa00330 / hsa00480	Amino acid metabolism / Metabolism of other amino acids	Cysteine and methionine metabolism - Homo sapiens (human) / Arginine and proline metabolism - Homo sapiens (human) / Glutathione metabolism - Homo sapiens (human)	spermidine	spermidine synthase
SRR	hsa00260 / hsa00470	Amino acid metabolism / Metabolism of other amino acids	Glycine, serine and threonine metabolism - Homo sapiens (human) / D-Amino acid metabolism - Homo sapiens (human)	serine	serine racemase
ST20-MTHFS	hsa00670	Metabolism of cofactors and vitamins	One carbon pool by folate - Homo sapiens (human)	ST20-MTHFS	ST20-MTHFS readthrough
STS	hsa00140	Lipid metabolism	Steroid hormone biosynthesis - Homo sapiens (human)	steroid	steroid sulfatase
SUCLA2	hsa00020 / hsa00640	Carbohydrate metabolism	Citrate cycle (TCA cycle) - Homo sapiens (human) / Propanoate metabolism - Homo sapiens (human)	succinate-CoA	succinate-CoA ligase ADP-forming subunit beta
SUCLG1	hsa00020 / hsa00640	Carbohydrate metabolism	Citrate cycle (TCA cycle) - Homo sapiens (human) / Propanoate metabolism - Homo sapiens (human)	succinate-CoA	succinate-CoA ligase GDP/ADP-forming subunit alpha
SUCLG2	hsa00020 / hsa00640	Carbohydrate metabolism	Citrate cycle (TCA cycle) - Homo sapiens (human) / Propanoate metabolism - Homo sapiens (human)	succinate-CoA	succinate-CoA ligase GDP-forming subunit beta
SULT1E1	hsa00140	Lipid metabolism	Steroid hormone biosynthesis - Homo sapiens (human)	sulfotransferase	sulfotransferase family 1E member 1
SULT2B1	hsa00140	Lipid metabolism	Steroid hormone biosynthesis - Homo sapiens (human)	sulfotransferase	sulfotransferase family 2B member 1
SUOX	hsa00920	Energy metabolism	Sulfur metabolism - Homo sapiens (human)	sulfite	sulfite oxidase
SUV39H1	hsa00310	Amino acid metabolism	Lysine degradation - Homo sapiens (human)	SUV39H1	SUV39H1 histone lysine methyltransferase
SUV39H2	hsa00310	Amino acid metabolism	Lysine degradation - Homo sapiens (human)	SUV39H2	SUV39H2 histone lysine methyltransferase
SYNJ1	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	synaptojanin	synaptojanin 1
SYNJ2	hsa00562	Carbohydrate metabolism	Inositol phosphate metabolism - Homo sapiens (human)	synaptojanin	synaptojanin 2
TAZ	hsa00564	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human)	tafazzin,	tafazzin, phospholipid-lysophospholipid transacylase
TALDO1	hsa00030	Carbohydrate metabolism	Pentose phosphate pathway - Homo sapiens (human)	transaldolase	transaldolase 1
TAT	hsa00270 / hsa00350 / hsa00360 / hsa00400 / hsa00130	Amino acid metabolism / Metabolism of cofactors and vitamins	Cysteine and methionine metabolism - Homo sapiens (human) / Tyrosine metabolism - Homo sapiens (human) / Phenylalanine metabolism - Homo sapiens (human) / Phenylalanine, tyrosine and tryptophan biosynthesis - Homo sapiens (human) / Ubiquinone and other terpenoid-quinone biosynthesis - Homo sapiens (human)	tyrosine	tyrosine aminotransferase
TBXAS1	hsa00590	Lipid metabolism	Arachidonic acid metabolism - Homo sapiens (human)	thromboxane	thromboxane A synthase 1
TCIRG1	hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	T	T cell immune regulator 1, ATPase H+ transporting V0 subunit a3
TDO2	hsa00380	Amino acid metabolism	Tryptophan metabolism - Homo sapiens (human)	tryptophan	tryptophan 2,3-dioxygenase
TECR	hsa00062 / hsa01040	Lipid metabolism	Fatty acid elongation - Homo sapiens (human) / Biosynthesis of unsaturated fatty acids - Homo sapiens (human)	trans-2,3-enoyl-CoA	trans-2,3-enoyl-CoA reductase
